,Year,Max Daily Rain,Date
0,2003,107.0,27/6/2003
1,2004,102.0,25/2/2004
2,2005,177.6,30/6/2005
3,2006,146.4,16/4/2006
4,2007,62.6,26/6/2007
5,2008,101.6,4/2/2008
6,2009,59.6,14/2/2009
7,2010,204.8,4/10/2010
8,2011,79.8,27/10/2011
9,2012,94.4,26/1/2012
10,2013,89.6,28/1/2013
11,2014,70.4,28/8/2014
12,2015,115.2,20/1/2015
13,2016,166.4,5/6/2016
14,2017,162.0,16/3/2017
15,2018,58.4,29/4/2018
16,2019,57.0,26/6/2019
17,2020,275.4,7/2/2020
18,2021,134.2,22/3/2021
19,2022,164.2,30/3/2022
20,2023,77.8,1/2/2023
21,2024,108.6,16/1/2024
